dataset,interpolation,alpha,name,score
skin lesion,bicubic,-0.5,ISIC_0024312.jpg_lower.jpg,0.9179913226242568
skin lesion,bicubic,-0.5,ISIC_0024313.jpg_lower.jpg,0.9298353358030457
skin lesion,bicubic,-0.5,ISIC_0024314.jpg_lower.jpg,0.9274631770876887
skin lesion,bicubic,-0.5,ISIC_0024315.jpg_lower.jpg,0.8772068251778851
skin lesion,bicubic,-0.75,ISIC_0024306.jpg_lower.jpg,0.9207417306575286
skin lesion,bicubic,-0.75,ISIC_0024307.jpg_lower.jpg,0.915125229925011
skin lesion,bicubic,-0.75,ISIC_0024308.jpg_lower.jpg,0.8918399947270631
skin lesion,bicubic,-0.75,ISIC_0024309.jpg_lower.jpg,0.9324998737457024
skin lesion,bicubic,-0.75,ISIC_0024310.jpg_lower.jpg,0.8620739886870065
skin lesion,bicubic,-0.75,ISIC_0024311.jpg_lower.jpg,0.9192312797392134
skin lesion,bicubic,-0.75,ISIC_0024312.jpg_lower.jpg,0.9172982518870001
skin lesion,bicubic,-0.75,ISIC_0024313.jpg_lower.jpg,0.9293098395123193
skin lesion,bicubic,-0.75,ISIC_0024314.jpg_lower.jpg,0.9267232695516194
skin lesion,bicubic,-0.75,ISIC_0024315.jpg_lower.jpg,0.8765064977341045
skin lesion,bicubic,-1.0,ISIC_0024306.jpg_lower.jpg,0.9196355013721318
skin lesion,bicubic,-1.0,ISIC_0024307.jpg_lower.jpg,0.9139767488400747
skin lesion,bicubic,-1.0,ISIC_0024308.jpg_lower.jpg,0.8910719367024811
skin lesion,bicubic,-1.0,ISIC_0024309.jpg_lower.jpg,0.9314241990290437
skin lesion,bicubic,-1.0,ISIC_0024310.jpg_lower.jpg,0.8610161990739105
skin lesion,bicubic,-1.0,ISIC_0024311.jpg_lower.jpg,0.9183724306655017
skin lesion,bicubic,-1.0,ISIC_0024312.jpg_lower.jpg,0.916229937770338
skin lesion,bicubic,-1.0,ISIC_0024313.jpg_lower.jpg,0.9282213869942946
skin lesion,bicubic,-1.0,ISIC_0024314.jpg_lower.jpg,0.9256511022453121
skin lesion,bicubic,-1.0,ISIC_0024315.jpg_lower.jpg,0.8754497981165069
skin lesion,bilinear,0,ISIC_0024306.jpg_lower.jpg,0.9226235875947759
skin lesion,bilinear,0,ISIC_0024307.jpg_lower.jpg,0.9169825225380797
skin lesion,bilinear,0,ISIC_0024308.jpg_lower.jpg,0.8909110987295877
skin lesion,bilinear,0,ISIC_0024309.jpg_lower.jpg,0.9344833282132925
skin lesion,bilinear,0,ISIC_0024310.jpg_lower.jpg,0.8614753247760476
skin lesion,bilinear,0,ISIC_0024311.jpg_lower.jpg,0.9202824317380363
skin lesion,bilinear,0,ISIC_0024312.jpg_lower.jpg,0.9189696632557934
skin lesion,bilinear,0,ISIC_0024313.jpg_lower.jpg,0.9309119750400633
skin lesion,bilinear,0,ISIC_0024314.jpg_lower.jpg,0.9283418570859643
skin lesion,bilinear,0,ISIC_0024315.jpg_lower.jpg,0.877988951650608
skin lesion,nearest,0,ISIC_0024306.jpg_lower.jpg,0.9186087658502199
skin lesion,nearest,0,ISIC_0024307.jpg_lower.jpg,0.913011186442659
skin lesion,nearest,0,ISIC_0024308.jpg_lower.jpg,0.8865125859996572
skin lesion,nearest,0,ISIC_0024309.jpg_lower.jpg,0.9296335810745533
skin lesion,nearest,0,ISIC_0024310.jpg_lower.jpg,0.8522667218005281
skin lesion,nearest,0,ISIC_0024311.jpg_lower.jpg,0.9184100782313154
skin lesion,nearest,0,ISIC_0024312.jpg_lower.jpg,0.9143563884576332
skin lesion,nearest,0,ISIC_0024313.jpg_lower.jpg,0.9267671485258259
skin lesion,nearest,0,ISIC_0024314.jpg_lower.jpg,0.9246855382600365
